bostoncollege,Boston College
springfield,Springfield
stlawrence,St. Lawrence
union,Union (NY)
wpi,Worcester Poly
bridgewaterstate,Bridgewater State
fitchburgstate,Fitchburg State
framinghamstate,Framingham State
massachusettsmaritime,Massachusetts Maritime
plymouthstate,Plymouth State
umassdartmouth,UMass-Dartmouth
westernconnecticutstate,Western Connecticut
westfieldstate,Westfield State
worcesterstate,Worcester State
augsburg,Augsburg
bethel,Bethel (MN)
carletonmn,Carleton (MN)
concordiamoorhead,Concordia (MN-Moorhead)
gustavusadolphus,Gustavus Adolphus
hamline,Hamline
stjohnsmn,St. John's (MN)
stolaf,St. Olaf
stthomasmn,St. Thomas
adrian,Adrian
albion,Albion
alma,Alma
hope,Hope
kalamazoo,Kalamazoo
olivet,Olivet
trine,Trine
albright,Albright
delawarevalley,Delaware Valley
fduflorham,FDU-Florham
kings,King's (PA)
lebanonvalley,Lebanon Valley
lycoming,Lycoming
misericordia,Misericordia
stevenson,Stevenson
widener,Widener
wilkes,Wilkes
beloit,Beloit
cornellia,Cornell (IA)
grinnell,Grinnell
illinoiscollege,Illinois College
knox,Knox
lakeforest,Lake Forest
lawrence,Lawrence
macalester,Macalester
monmouthil,Monmouth (IL)
ripon,Ripon
stnorbert,St. Norbert
aurora,Aurora
benedictine,Benedictine (IL)
concordiachicago,Concordia (IL)
concordiawi,Concordia (WI)
lakeland,Lakeland
rockford,Rockford
wisconsinlutheran,Wisconsin Lutheran
allegheny,Allegheny
denison,Denison
depauw,DePauw
hiram,Hiram
kenyon,Kenyon
oberlin,Oberlin
ohiowesleyan,Ohio Wesleyan
wabash,Wabash
wittenberg,Wittenberg
wooster,Wooster
coastguard,Coast Guard
curry,Curry
endicott,Endicott
mainemaritime,Maine Maritime
mit,MIT
nichols,Nichols
salveregina,Salve Regina
westernnewengland,Western New England
amherst,Amherst
bates,Bates
bowdoin,Bowdoin
colby,Colby
hamilton,Hamilton
middlebury,Middlebury
trinityct,Trinity (CT)
tufts,Tufts
wesleyan,Wesleyan
williams,Williams
christophernewport,Christopher Newport
tcnj,College of New Jersey
frostburgstate,Frostburg State
kean,Kean
montclairstate,Montclair State
rowan,Rowan
salisbury,Salisbury
southernvirginia,Southern Virginia
wesley,Wesley
williampaterson,William Paterson
georgefox,George Fox
lewisclark,Lewis & Clark
linfield,Linfield
pacificor,Pacific (OR)
pacificlutheran,Pacific Lutheran
pugetsound,Puget Sound
whitworth,Whitworth
willamette,Willamette
baldwinwallace,Baldwin-Wallace
capital,Capital
heidelberg,Heidelberg
johncarroll,John Carroll
marietta,Marietta
mountunion,Mount Union
muskingum,Muskingum
ohionorthern,Ohio Northern
otterbein,Otterbein
wilmington,Wilmington
bridgewater,Bridgewater
catholic,Catholic
emoryhenry,Emory & Henry
guilford,Guilford
hampdensydney,Hampden-Sydney
randolphmacon,Randolph-Macon
shenandoah,Shenandoah
washingtonlee,Washington & Lee
bethanywv,Bethany (WV)
carnegiemellon,Carnegie Mellon
casewestern,Case Western Reserve
geneva,Geneva
grovecity,Grove City
saintvincent,St. Vincent
thiel,Thiel
thomasmore,Thomas More
washingtonjefferson,Washington & Jefferson
waynesburg,Waynesburg
westministerpa,Westminster (PA)
berry,Berry
birminghamsouthern,Birmingham-Southern
centre,Centre
chicago,Chicago
hendrix,Hendrix
millsaps,Millsaps
rhodes,Rhodes
sewanee,Sewanee
washingtonu,Washington (MO)
austin,Austin
southwesterntx,Southwestern (TX)
texaslutheran,Texas Lutheran
trinitytx,Trinity (TX)
callutheran,Cal Lutheran
chapman,Chapman
claremontmuddscripps,Claremont-Mudd-Scripps
laverne,La Verne
occidental,Occidental
pomonapitzer,Pomona-Pitzer
redlands,Redlands
whittier,Whittier
crown,Crown
eureka,Eureka
greenville,Greenville
iowawesleyan,Iowa Wesleyan
macmurray,MacMurray
martinluther,Martin Luther
minnesotamorris,Minnesota-Morris
northwesternstpaul,Northwestern (MN)
stscholastica,St. Scholastica
westministermo,Westminster (MO)
averett,Averett
ferrum,Ferrum
greensboro,Greensboro
huntingdon,Huntingdon
lagrange,LaGrange
maryville,Maryville
methodist,Methodist
ncwesleyan,NC Wesleyan
wisconsineauclaire,Wisconsin-Eau Claire
wisconsinlacrosse,Wisconsin-La Crosse
wisconsinoshkosh,Wisconsin-Oshkosh
wisconsinplatteville,Wisconsin-Platteville
wisconsinriverfalls,Wisconsin-River Falls
wisconsinstevenspoint,Wisconsin-Stevens Point
wisconsinstout,Wisconsin-Stout
wisconsinwhitewater,Wisconsin-Whitewater
finlandia,Finlandia
maranathabaptist,Maranatha Baptist
une,UNE
azchristian,Arizona Christian
bacone,Bacone
langston,Langston
lyon,Lyon
southwesternassembliesofgod,SW Assemblies of God
texascollege,Texas College
waylandbaptist,Wayland Baptist
carrollmt,Carroll (MT)
easternoregon,Eastern Oregon
montanastatenorthern,Montana State-Northern
montanatech,Montana Tech
montanawestern,Montana-Western
rockymountain,Rocky Mountain
southernoregon,Southern Oregon
collegeidaho,College of Idaho
briarcliff,Briar Cliff
concordiane,Concordia (NE)
dakotawesleyan,Dakota Wesleyan
doane,Doane
dordt,Dordt
hastings,Hastings
midland,Midland
morningside,Morningside
northwesternia,Northwestern (IA)
avila,Avila
baker,Baker
benedictineks,Benedictine (KS)
centralmethodist,Central Methodist
clarke,Clarke
culverstockton,Culver-Stockton
evangel,Evangel
graceland,Graceland
grandview,Grand View
midamericanazarene,MidAmerica Nazarene
missourivalley,Missouri Valley
perustate,Peru State
williampenn,William Penn
bethanyks,Bethany (KS)
bethelks,Bethel (KS)
friends,Friends
kansaswesleyan,Kansas Wesleyan
mcpherson,McPherson
ottawaks,Ottawa (KS)
southwesternks,Southwestern (KS)
saintmary,St. Mary (KS)
sterling,Sterling
tabor,Tabor
betheltn,Bethel (TN)
bluefield,Bluefield
campbellsville,Campbellsville
cincinnatichristian,Cincinnati Christian
cumberland,Cumberland
cumberlands,Cumberlands
faulkner,Faulkner
georgetownky,Georgetown (KY)
kentuckychristian,Kentucky Christian
lindseywilson,Lindsey Wilson
pikeville,Pikeville
reinhardt,Reinhardt
standrewsnc,St. Andrews (NC)
unionky,Union (KY)
concordiami,Concordia (MI)
indianawesleyan,Indiana Wesleyan
lindenwoodbelleville,Lindenwood-Belleville
marian,Marian
missouribaptist,Missouri Baptist
olivetnazarene,Olivet Nazarene
robertmorrisil,Robert Morris (IL)
sienaheights,Siena Heights
stambrose,St. Ambrose
stfrancisil,St. Francis (IL)
saintfrancisin,St. Francis (IN)
saintxavier,St. Xavier
taylor,Taylor
trinityinternational,Trinity International
dakotastate,Dakota State
dickinsonstate,Dickinson State
jamestown,Jamestown
mayvillestate,Mayville State
presentation,Presentation
valleycitystate,Valley City State
waldorf,Waldorf
avemaria,Ave Maria
edwardwaters,Edward Waters
point,Point
southeastern,Southeastern
warner,Warner
webberinternational,Webber International
apprentice,Apprentice
concordiaal,Concordia (AL)
ohiomw,Ohio Midwestern
virginialynchburg,Virginia-Lynchburg
williamson,Williamson
cabrillo,Cabrillo
collegeredwoods,College of the Redwoods
foothill,Foothill
gavilan,Gavilan
hartnell,Hartnell
losmedanos,Los Medanos
mendocino,Mendocino
merced,Merced
montereypeninsula,Monterey Peninsula
reedley,Reedley
sanjosecity,San Jose City
shasta,Shasta
westhills,West Hills
yuba,Yuba
americanriver,American River
butte,Butte
ccsanfrancisco,CC San Francisco
chabot,Chabot
collegesequoias,College of the Sequoias
collegesiskiyous,College of the Siskiyous
contracosta,Contra Costa
deanza,De Anza
diablovalley,Diablo Valley
featherriver,Feather River
fresnocity,Fresno City
laney,Laney
modestojunior,Modesto Junior
sacramentocity,Sacramento City
sanjoaquindelta,San Joaquin Delta
sanmateo,San Mateo
santarosajunior,Santa Rosa Junior
sierra,Sierra
allanhancock,Allan Hancock
antelopevalley,Antelope Valley
citrus,Citrus
collegedesert,College of the Desert
comptoncc,Compton CC
eastlosangeles,East Los Angeles
glendaleccca,Glendale CC (CA)
losangelespierce,Los Angeles Pierce
losangelessouthwest,Los Angeles Southwest
losangelesvalley,Los Angeles Valley
mtsanjacinto,Mt. San Jacinto
pasadenacity,Pasadena City
sanbernardinovalley,San Bernardino Valley
sandiegomesa,San Diego Mesa
santaana,Santa Ana
santabarbaracity,Santa Barbara City
southwestern,Southwestern
victorvalley,Victor Valley
westlosangeles,West Los Angeles
